project_name;files_ok;files_erros
rhinstaller/anaconda;169114;0
freedomofpress/securedrop;169326;0
mailu/mailu;169425;0
kornia/kornia;169882;0
geopandas/geopandas;169961;0
carltongibson/django-filter;170001;0
encode/httpx;170062;0
pyeve/eve;170130;0
giampaolo/psutil;170201;0
sfttech/openage;170478;0
openstack/oslo.messaging;170565;0
graphql-python/graphene;170708;0
apache/couchdb-documentation;170708;0
searxng/searxng;170933;0
openstack/mistral;171349;2
ardupilot/pymavlink;171458;0
opennmt/opennmt-py;171577;0
unbit/uwsgi-docs;171581;3
dr-prodigy/python-holidays;171793;0
kserve/kserve;172157;0
ovirt/vdsm;172961;0
openframeworks/ofsite;172994;8
python/python-docs-fr;172994;0
openstack/python-glanceclient;173074;0
django-import-export/django-import-export;173131;0
mongodb/mongo-python-driver;173343;0
python-telegram-bot/python-telegram-bot;173685;0
pytorch/audio;174093;0
xingyizhou/centernet2;174134;0
rootzoll/raspiblitz;174167;0
plone/products.cmfplone;174484;0
searx/searx;174692;0
feast-dev/feast;175060;0
sherlock-project/sherlock;175071;0
googleapis/google-api-python-client;175157;0
opensearch-project/opensearch-py;175252;0
chubin/wttr.in;175280;0
opsdroid/opsdroid;175433;0
psychopy/psychopy;176102;24
nilearn/nilearn;176481;0
google/flax;176669;0
ktbyers/netmiko;176917;0
falconry/falcon;177148;0
open-telemetry/opentelemetry-python;177547;0
mdanalysis/mdanalysis;177919;0
mycroftai/mycroft-core;178148;0
zeromq/pyzmq;178319;0
ycm-core/youcompleteme;178378;0
openstack/tacker;179372;0
pika/pika;179459;0
napalm-automation/napalm;179571;0
gpodder/gpodder;179680;0
mwaskom/seaborn;179832;0
harshcasper/rotten-scripts;180107;7
s3tools/s3cmd;180132;0
gnome/pygobject;180253;0
openstack/zaqar;180579;0
thumbor/thumbor;180813;0
openatv/enigma2;181316;0
twisted/twisted;182411;0
robotframework/robotframework;183076;0
jazzband/pip-tools;183121;0
horovod/horovod;183380;0
lightning-ai/metrics;183721;0
openstack/murano;184090;0
carlospolop/hacktricks;184091;0
sirver/ultisnips;184174;0
kubernetes-client/python;646;0
pyload/pyload;1196;1
pycqa/astroid;1426;1
spesmilo/electrumx;1478;0
gerritcodereview/git-repo;1550;0
hipo/university-domains-list;1552;0
vispy/vispy;2116;0
rdflib/rdflib;2486;0
conda-forge/conda-forge.github.io;2507;0
aws/chalice;2643;0
hgrecco/pint;2750;0
cobrateam/splinter;2819;0
yelp/paasta;3255;0
quodlibet/quodlibet;3935;0
astropy/astroquery;4432;0
hylang/hy;4474;0
kedro-org/kedro;4767;2
freeipa/freeipa;5656;0
compiler-explorer/infra;5719;0
tobi-wan-kenobi/bumblebee-status;5979;0
jazzband/django-simple-history;6034;0
boto/botocore;6283;0
dpgaspar/flask-appbuilder;6604;7
firewalld/firewalld;6669;0
sigmavirus24/github3.py;6795;0
openstates/openstates-scrapers;7183;0
zim-desktop-wiki/zim-desktop-wiki;7401;0
cog-creators/red-discordbot;7611;0
analogj/lexicon;7791;1
wmcnally/kapao;7817;0
oca/account-financial-tools;8160;0
opencomputeproject/sai;8260;35
python/planet;8263;9
jellyfin/jellyfin-mpv-shim;8294;0
plamere/spotipy;8365;0
anitab-org/mentorship-backend;8487;0
openedx/ecommerce;9438;0
openstack/ironic-python-agent;9526;0
magenta/magenta;9858;0
deepchem/deepchem;10481;3
nixos/nixops;10537;0
pycqa/flake8;10613;0
facebook/prophet;10641;0
aws-samples/aws-cdk-examples;10820;0
stackstorm/st2;12076;0
rpm-software-management/mock;12127;0
supervisor/supervisor;12197;0
returntocorp/semgrep-rules;12545;5
etianen/django-reversion;12583;0
jazzband/django-pipeline;12639;0
canonical/microk8s;12706;0
exaile/exaile;12952;0
nicolargo/glances;13070;0
libretro/libretro-database;13075;2
kyuupichan/electrumx;13119;0
python-markdown/markdown;13187;0
getsentry/sentry-python;13362;0
rytilahti/python-miio;13573;0
yt-project/yt;14443;0
dbcli/pgcli;14512;0
zalando/patroni;14601;0
fsspec/filesystem_spec;14686;0
imerica/dj-rest-auth;14719;0
burnash/gspread;14737;0
overviewer/minecraft-overviewer;14788;0
apache/bigtop;14961;75
ipython/ipykernel;15037;0
openrazer/openrazer;15133;0
deepset-ai/haystack;15449;0
centerforopenscience/osf.io;17174;2
esmci/cime;17374;0
python-discord/bot;17565;1
web2py/pydal;17667;1
httpie/httpie;17800;0
flask-middleware/flask-security;17872;0
awesomedata/apd-core;17876;0
davidhalter/jedi;18154;35
git-cola/git-cola;18341;0
sopel-irc/sopel;18465;0
tensorflow/tfx;19482;0
lonamiwebs/telethon;19632;0
ctf-wiki/ctf-wiki;19634;1
sqlalchemy/alembic;19734;0
zzzeek/alembic;19834;0
jazzband/django-axes;19894;0
hvac/hvac;20047;0
openstack/oslo.config;20083;0
pwndbg/pwndbg;20291;0
zulko/moviepy;20412;0
ciscotestautomation/genieparser;26529;0
openvinotoolkit/open_model_zoo;27226;0
open-telemetry/opentelemetry-python-contrib;27629;0
tomekw/whatever;27640;3
onionshare/onionshare;27710;0
oca/l10n-spain;28141;0
django-mptt/django-mptt;28168;0
awslabs/aws-well-architected-labs;28223;1
django-cms/django-filer;28342;0
mongomock/mongomock;28380;0
py-pdf/pypdf2;28433;0
datadog/datadogpy;28548;0
truenas/middleware;29886;0
citizenlab/test-lists;29910;0
googlecloudplatform/gsutil;30158;0
python-attrs/attrs;30208;1
elastic/helm-charts;30216;0
encode/uvicorn;30281;0
kubeflow/training-operator;30419;0
appdaemon/appdaemon;30494;0
ycm-core/ycmd;30737;4
circus-tent/circus;30871;0
paddlepaddle/paddlenlp;32890;0
pwr-solaar/solaar;32938;0
